entry_num,dance_name,division,style,group_size,studio,time
1,Party In The U S,Mini,Jazz,Solo,Broadway South A Dance,8:00
2,Buzz,Mini,Jazz,Solo,Broadway South Dance,8:02
3,Little Bitty Pretty,Mini,Jazz,Solo,Revolution Dance One Company,8:04
4,Wow,Mini,Jazz,Solo,The Pike Road Dance Academy,8:06
5,Be About It,Mini,Jazz,Solo,"Dance Warehouse, Inc.",8:09
6,Ooh La La,Mini,Jazz,Solo,Broadway South Dance,8:10
7,All About Me,Mini,Jazz,Solo,Revolution Dance Company,8:13
8,Time,Mini,Contemporary,Solo,Broadway South Dance,8:15
9,Evergreen,Mini,Contemporary,Solo,Broadway South Dance,8:18
10,Mystery In,Mini,Contemporary,Solo,Lemoine Academy Darkness of Dance,8:21
11,Constellations,Mini,Lyrical,Solo,Broadway South Dance,8:23
12,Yellow Brick,Mini,Lyrical,Solo,The Pointe Dance Road Arts,8:26
13,Flaunt It,Mini,,Solo,Jill Listi Dance Theatre Studio,8:29
14,Diamonds,Mini,,Solo,elite dance force Theatre,8:34
15,Big Spender,Mini,Jazz,Duo/Trio,Lemoine Academy of Dance,8:36
16,Word Up,Mini,Jazz,Duo/Trio,Lemoine Academy of Dance,8:39
17,Sugar And Spice,Mini,Jazz,Duo/Trio,The Pike Road Dance Academy,8:42
18,Boots,Mini,Jazz,Duo/Trio,"Dance Connection Center, LLC",8:44
19,Genesis,Mini,Open,Solo,Broadway South Dance,8:47
20,Let's Get Loud,Mini,Open,Solo,Broadway South Dance,8:49
21,River Runs,Mini,Contemporary,Duo/Trio,Lemoine Academy of Dance,8:51
22,Fabulous,Mini,,Duo/Trio,"Dance Connection Theatre Center, LLC",8:54
23,Somewhere,Mini,Lyrical,Duo/Trio,elite dance force,8:57
24,My Kind Of Guy,Junior,Jazz,Solo,Conservatory Of Dance Arts,9:10
25,Amayzing Mayzie,Junior,Jazz,Solo,Revolution Dance Company,9:12
26,Bad Mama Jama,Junior,Jazz,Solo,The Pointe Dance Arts,9:15
27,Diva,Junior,Jazz,Solo,elite dance force,9:17
28,Yeesh,Junior,Jazz,Solo,Broadway South Dance,9:19
29,Goosebumps,Junior,Jazz,Solo,Sheffield School of the Dance,9:21
30,Everybody Wants,Junior,Jazz,Solo,Revolution Dance To Be A Cat Company,9:24
31,Pink Panther,Junior,Jazz,Solo,Kelly's Studio Of Dance,9:26
32,Serving,Junior,Jazz,Solo,Revolution Dance Company,9:29
33,Miss Otis,Junior,Jazz,Solo,Revolution Dance Regrets Company,9:31
34,Make It Look,Junior,Jazz,Solo,LA Dance Space Easy,9:34
35,Rinse And,Junior,Jazz,Solo,elite dance force Repeat,9:36
36,It Girl,Junior,Jazz,Solo,The Pike Road Dance Academy,9:39
37,Watchugot,Junior,Jazz,Solo,Pembo Cieutat Academy of Dance,9:41
38,Control,Junior,Jazz,Solo,Kelly's Studio Of Dance,9:44
39,Perhaps Perhaps,Junior,Jazz,Solo,Revolution Dance Perhaps Company,9:46
40,Let It All Go,Junior,Contemporary,Solo,Sheffield School of the Dance,9:49
41,Uncharted,Junior,Contemporary,Solo,Conservatory Of Dance Arts,9:52
42,Angel By The,Junior,Contemporary,Solo,Revolution Dance Wings Company,9:54
43,Colourful Leaves,Junior,Contemporary,Solo,Sheffield School of the Dance,9:57
44,Dont Worry,Junior,Contemporary,Solo,The Pike Road About Me Dance Academy,10:00
45,I Can Feel It,Junior,Contemporary,Solo,Lemoine Academy of Dance,10:02
46,Girl And Geese,Junior,Contemporary,Solo,Conservatory Of Dance Arts,10:05
47,Hallelujah,Junior,Contemporary,Solo,Sheffield School of the Dance,10:07
48,Moonlit Sky,Junior,Contemporary,Solo,Sheffield School of the Dance,10:10
49,Dreaming,Junior,Contemporary,Solo,Revolution Dance Company,10:12
50,Dont Think Twice,Junior,Contemporary,Solo,Conservatory Of Dance Arts,10:15
51,Jungle,Junior,Contemporary,Solo,Revolution Dance Company,10:17
52,Sleep,Junior,Contemporary,Solo,Conservatory Of Dance Arts,10:20
53,Black Out,Junior,Contemporary,Solo,Revolution Dance Company,10:22
